"WS","WS_l","WS_dl","PS","PS_l","PS_dl","Y","Y_l","Y_dl","Yrw","Yrw_l","Yrw_dl","Tax","Yf","Yf_l","Yf_dl","C","C_l","C_dl","W","W_l","W_dl","R","R_l","R_dl","It","It_l","It_dl","Itcurr","Itcurr_l","Itcurr_dl","Ipr","Ipr_l","Ipr_dl","Ips","Ips_l","Ips_dl","I","I_l","I_dl","r","r_l","r_dl","P","P_l","P_dl","Pm","Pm_l","Pm_dl","Px","Px_l","Px_dl","X","X_l","X_dl","M","M_l","M_dl","rulc","rulc_l","rulc_dl","ulc","ulc_l","ulc_dl","Tau","Tau_l","Tau_dl","dPxdPm","dPdPm","Trade"
0.671747729,-0.397872412214246,NA,0.328252271,-1.11397284731593,NA,173.115,5.15395611354048,NA,9016560532366.46,29.8300840615816,NA,0.3304,172.7846,5.15204573202813,NA,112.6766,4.72452176860902,NA,116.067662656173,4.75417331981388,NA,56.7169373438266,4.0380728847122,NA,25.383,3.23407965861047,NA,0.9546,-0.0464628744103409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6328,0.968047918646993,NA,7.3365371,1.99286694655984,NA,4.1616361,1.42590829022288,NA,8.8244,2.17752061183947,NA,4.4091,1.48367058699861,NA,0.670465659568341,-0.399782793726595,NA,1.76520198851153,0.568265124920398,NA,42.2135513,3.74274129034678,NA,NA,NA,0.0764434046731941
0.665838194,-0.406708589911306,-0.00883617769706035,0.334161806,-1.09612995421122,0.0178428931047072,193.608,5.26583549630278,0.111879382762305,9442324966807.43,29.8762233546186,0.046139293036962,0.3639,193.2441,5.26395415660043,0.111908424572305,125.0607,4.82879921943678,0.104277450827759,128.669302545155,4.85724556668913,0.103072246875246,64.5747974548446,4.16782420238921,0.129751317677012,29.9286,3.39881454496036,0.164734886349888,1.1399,0.130940539260596,0.177403413670937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6814361,0.986352509210979,0.0183045905639863,7.4866549,2.01312208895796,0.0202551423981172,4.2453826,1.44583194526608,0.0199236550432016,9.5241,2.2538254283595,0.0763048165200271,6.1785,1.82107552356211,0.337404936563497,0.664586703778539,-0.408589929613655,-0.00880713588705984,1.78204677909178,0.577762579597324,0.00949745467692631,46.7619611,3.84507007541647,0.102328785069687,-0.000331487354915505,-0.00195055183413095,0.0811051196231561
0.667319791,-0.404485901187784,0.00222268872352249,0.332680209,-1.10057358375051,-0.00444362953929289,211.622,5.35480166433392,0.0889661680311349,9997841510784.6,29.9333903367023,0.0571669820837677,0.4231,211.1989,5.35280034348521,0.0888461868847754,136.0493,4.9130173200488,0.0842181006120244,140.93720580743,4.94831444229743,0.0910688756082978,70.2616941925701,4.25222675973469,0.0844025573454825,33.3343,3.50658689689949,0.107772351939128,1.3457,0.296914323765359,0.165973784504763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8348651,1.04199435227332,0.0556418430623419,7.636019,2.03287639407413,0.0197543051161699,4.4496073,1.49281584509313,0.0469838998270466,10.7424,2.37419852780358,0.120373099444081,8.3052,2.11688182465368,0.295806301091573,0.66598560550146,-0.406487222036492,0.00210270757716341,1.88797935013846,0.63550713023683,0.0577445506395055,50.3393373,3.91878682513899,0.0737167497225237,0.0272295947108766,0.0358875379461721,0.0900076551587264
0.688441549,-0.373324860568363,0.0311610406194213,0.311558451,-1.16616831469779,-0.0655947309472735,230.157,5.4387616847475,0.0839600204135813,10544830262326.6,29.9866568332221,0.0532664965197398,0.4727,229.6843,5.43670575733732,0.0839054138521069,151.4597,5.02031958296273,0.107302262913932,158.124215272981,5.06338089676895,0.115066454471528,71.5600847270193,4.27053744263953,0.0183106829048327,37.1431,3.61477802040038,0.108191123500887,1.6069,0.47430685706557,0.177392533300212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0761956,1.12369363869842,0.0816992864250996,7.7924794,2.05315908908833,0.0202826950141981,4.7320105,1.55435016504859,0.0615343199554645,11.154,2.41179817796736,0.037599650163783,10.2591,2.32816511659682,0.211283291943134,0.687027617117797,-0.375380787978546,0.0311064340579458,2.11343133285625,0.748312850719875,0.112805720483045,53.9226322,3.98755028217813,0.0687634570391391,0.0412516249412668,0.0614165914109017,0.0930369269672441
0.697941176,-0.359620454842741,0.0137044057256215,0.302058824,-1.19713349911776,-0.030965184419971,244.398,5.4987980439579,0.0600363592104021,11234143890563.4,30.0499788184456,0.0633219852235207,0.5584,243.8396,5.49651063207699,0.0598048747396724,157.9676,5.06238994870748,0.0420703657447428,170.18569717937,5.13689017723425,0.0735092804652933,73.6539028206304,4.29937713295923,0.0288396903197015,42.7174,3.75460633137659,0.13982831097621,1.9385,0.661914478128847,0.187607621063276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2707107,1.18500730074391,0.0613136620454857,7.9762895,2.07647332839001,0.0233142393016785,4.8632262,1.58170204483711,0.0273518797885171,14.0021,2.63920731836638,0.227409140399021,11.5905,2.45018579705961,0.122020680462796,0.696346521572884,-0.361907866723654,0.0134729212548919,2.27754801901621,0.823099434020253,0.0747865833003777,56.2768569,4.03028338313868,0.0427331009605507,0.00403764048683836,0.0379994227438072,0.10471689621028
0.700672284,-0.355714999118941,0.00390545572380002,0.299327716,-1.20621626567113,-0.00908276655336793,259.681,5.55945395465227,0.060655910694372,11853618322498.5,30.1036542805726,0.053675462126975,0.6729,259.0081,5.55685933534179,0.0603487032647978,168.7049,5.12815103477326,0.065761086065784,181.4797970015,5.20114433622285,0.0642541589885983,77.5283029984996,4.35064306967066,0.0512659367114301,49.7383,3.90677526006702,0.152168928690434,2.367,0.861623330531847,0.199708852403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5707012,1.27276199107056,0.087754690326652,8.0400663,2.08443732942553,0.00796400103552442,4.9151469,1.59232164125015,0.0106195964130429,14.9487,2.70462433953402,0.0654170211676353,15.408,2.73488685505577,0.284701057996159,0.698856662603349,-0.358309618429428,0.00359824829422545,2.49540832378577,0.91445237264113,0.0913529386208773,58.5864293,4.07050308785247,0.0402197047137909,0.00265559537751819,0.0797906892911272,0.116899965727181
0.719044588,-0.329831909275667,0.0258830898432738,0.280955412,-1.26955929839537,-0.0633430327242415,278.497,5.6294072873165,0.0699533326642285,12571216687067.8,30.1624309267716,0.0587766461990533,0.7989,277.6981,5.62653455237361,0.0696752170318247,180.8832,5.19785151910027,0.069700484327007,199.677315902883,5.29670264309794,0.0955583068750991,78.0207840971172,4.35697525397824,0.00633218430758387,56.2439,4.02969759075956,0.12292233069254,2.767,1.01776370080479,0.156140370272942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8624266,1.35129563880705,0.0785336477364955,8.0551592,2.08631278055529,0.00187545112976251,5.3571908,1.67843973321434,0.0861180919641904,17.2675,2.84882612198099,0.144201782446972,18.3935,2.91199734133405,0.177110486278285,0.716981927643324,-0.332704644218558,0.0256049742108708,2.76929006904885,1.0185909945885,0.104138621947366,61.4239364,4.11779960283201,0.047296514979541,0.0842426408344281,0.0766581966067333,0.128048057968308
0.733135794,-0.310424336409126,0.0194075728665411,0.266864206,-1.32101534171884,-0.0514560433234765,290.585,5.67189613246053,0.0424888451440326,13155067111862.1,30.2078281320317,0.0453972052600591,0.9019,289.6831,5.66878756686381,0.042253014490198,191.7737,5.25631603104517,0.0584645119449041,212.377049526881,5.35836323045468,0.0616605873567391,77.3060504731186,4.34777222514496,-0.00920302883327828,59.6435,4.08838517362062,0.0586875828610625,3.1488,1.1470214278758,0.129257727071008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1918552,1.43314340443742,0.081847765630366,8.2677781,2.11236580304621,0.0260530224909123,6.1163848,1.8109712030268,0.132531469812464,16.4703,2.80155875895991,-0.047267363021084,17.795,2.87891751896216,-0.0330798223718984,0.730860331837092,-0.313532902005851,0.0191717422127067,3.06366068248504,1.11961050243157,0.101019507843073,62.4701916,4.13468950857297,0.0168899057409559,0.106478447321552,0.0557947431394535,0.117918337147478
0.708753129,-0.344248009135106,-0.0338236727259795,0.291246871,-1.23358401750758,0.0874313242112685,309.754,5.7357784340659,0.0638823016053696,13977964127654,30.2685032146369,0.0606750826052647,0.9558,308.7982,5.73268798911809,0.0639004222542789,203.2352,5.31436392904849,0.0580478980033154,218.861690479568,5.38843997998298,0.0300767495282992,89.9365095204322,4.49910397161051,0.151331746465547,65.2854,4.17876842782293,0.0903832542023046,3.6148,1.28503652904566,0.138015101169866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4396214,1.49056910253815,0.0574256981007268,9.1539055,2.21418061882225,0.101814815776048,7.2057353,1.97487727837339,0.16390607534659,19.5025,2.97054266248033,0.168983903520424,19.2386,2.95691867751729,0.078001158555133,0.706566147586691,-0.347338454082921,-0.0338055520770703,3.13688618934143,1.14323064845523,0.0236201460236565,64.8745199,4.17245494107331,0.0377654325003443,0.0620912595705416,-0.0443891176753214,0.12507053984775
0.701693711,-0.354258279283653,-0.0100102701485471,0.298306289,-1.20963450488113,0.0239495126264504,337.346,5.82110910988145,0.0853306758155501,14788132865074.6,30.3248461416173,0.056342926980399,1.1475,336.1985,5.81770175933458,0.0850137702164915,217.7806,5.38348813398805,0.0691242049395608,235.908373097634,5.46344348005093,0.075003500067945,100.290126902366,4.60806725445345,0.108963282842942,71.811,4.27403766766236,0.0952692398394355,4.1896,1.43260526398314,0.147568734937477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6676139,1.54064799892121,0.0500788963830676,9.4153339,2.24233962616427,0.0281590073420195,7.6438386,2.03389991155542,0.0590226331820303,22.5765,3.11690954227839,0.146366879798059,22.3144,3.10523220997608,0.148313532458792,0.699306863272822,-0.357665629830527,-0.0103271757476059,3.26409443537763,1.18298236909069,0.0397517206354616,68.7356314,4.23026771688541,0.0578127758120974,0.0308636258400108,0.0219198890410481,0.133070793784423
